Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-05-29,A Quiet Place,2018,https://boxd.it/1TnWcX,,,,2018-03-29
2020-07-19,The Wolf of Wall Street,2013,https://boxd.it/1g1Knp,4.5,Yes,,2020-07-05
2021-04-07,Batman Begins,2005,https://boxd.it/1Md5BH,4,Yes,,2021-04-06
2021-06-22,Mud,2012,https://boxd.it/1WxThd,4,,,2021-06-21
2021-06-23,I Care a Lot,2020,https://boxd.it/1WG3DJ,2,,,2021-06-22
2021-07-10,Black Widow,2021,https://boxd.it/1YYElL,4,,,2021-07-09
2021-07-17,Loki,2021,https://boxd.it/1ZXrwN,3.5,,,2021-07-14
2022-05-31,Top Gun: Maverick,2022,https://boxd.it/2T4N7J,4.5,,,2022-05-26
2022-07-05,Near Dark,1987,https://boxd.it/2ZuKDt,4,,,2022-07-04
2023-06-05,What Is a Woman?,2022,https://boxd.it/4kHBvD,,,,2023-06-04
2023-06-20,"I Love You, Man",2009,https://boxd.it/4oKdNP,4,Yes,,2023-06-19
2023-07-09,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4umLWd,5,Yes,,2023-07-08
2024-01-21,The Lord of the Rings: The Two Towers,2002,https://boxd.it/5DXwtt,5,Yes,"date night, alamo",2024-01-20
2025-01-26,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/8C2kuF,5,Yes,,2025-01-25
2025-01-26,The Lord of the Rings: The Two Towers,2002,https://boxd.it/8C2lgz,5,Yes,,2025-01-25
