Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-06-18,Pineapple Express,2008,https://boxd.it/JQyCx,4,,,2019-06-17
2019-07-03,Spider-Man: Far From Home,2019,https://boxd.it/KBNrt,5,,,2019-07-02
2019-07-15,Yesterday,2019,https://boxd.it/LcXtN,4,,,2019-07-14
2019-07-19,Logan Lucky,2017,https://boxd.it/LqDg3,4,,,2019-07-14
2019-07-19,Hot Rod,2007,https://boxd.it/LqDer,4.5,,,2019-07-18
2019-07-24,The Lion King,2019,https://boxd.it/LGHSR,4,,,2019-07-23
2019-07-30,Once Upon a Time... in Hollywood,2019,https://boxd.it/LYIAZ,5,,,2019-07-29
2019-08-11,Inglourious Basterds,2009,https://boxd.it/MCrcL,5,,,2019-08-10
2019-08-12,Rain Man,1988,https://boxd.it/MGpPT,4.5,,,2019-08-11
2019-08-12,50/50,2011,https://boxd.it/MGpTV,3.5,,,2019-08-11
2019-10-02,Ad Astra,2019,https://boxd.it/Pmvwv,3.5,,,2019-10-01
2019-10-05,Joker,2019,https://boxd.it/PvQZ7,5,,,2019-10-04
2019-10-13,What If,2013,https://boxd.it/Q158f,3,,,2019-10-13
2019-11-27,Knives Out,2019,https://boxd.it/SJ2hJ,4.5,,,2019-11-26
2019-12-01,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/SWrg3,3,,,2019-11-27
2019-12-01,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/SWrlx,2.5,,,2019-11-29
2019-12-01,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/SWroL,3.5,,,2019-11-29
2019-12-01,Kill Bill: Vol. 1,2003,https://boxd.it/SWqF7,4.5,,,2019-11-30
2019-12-01,Kill Bill: Vol. 2,2004,https://boxd.it/SXTrP,5,,,2019-11-30
2019-12-05,Rogue One: A Star Wars Story,2016,https://boxd.it/TdEnl,4,Yes,,2019-12-01
2019-12-07,Ford v Ferrari,2019,https://boxd.it/TmI3x,5,,,2019-12-07
2019-12-08,Noelle,2019,https://boxd.it/Tof5D,3,,,2019-12-07
2019-12-15,A Beautiful Day in the Neighborhood,2019,https://boxd.it/TSGJ1,5,,,2019-12-15
2019-12-22,Star Wars: The Rise of Skywalker,2019,https://boxd.it/Uj0bb,4.5,,,2019-12-20
2019-12-27,It's a Wonderful Life,1946,https://boxd.it/ULcDd,5,Yes,,2019-12-25
2019-12-27,Star Wars,1977,https://boxd.it/ULcOl,5,,,2019-12-26
2019-12-27,The Empire Strikes Back,1980,https://boxd.it/ULWIj,5,,,2019-12-26
2019-12-28,Sunshine,2007,https://boxd.it/UTEXL,4,Yes,,2019-12-27
2020-01-11,Uncut Gems,2019,https://boxd.it/WhJ8v,5,,,2020-01-11
2020-01-12,Marriage Story,2019,https://boxd.it/Wif6L,4,,,2020-01-11
2020-01-12,1917,2019,https://boxd.it/WpfWh,5,,,2020-01-12
2020-01-19,Jojo Rabbit,2019,https://boxd.it/X2bdb,4,,,2020-01-17
2020-02-02,The Gentlemen,2019,https://boxd.it/Yjb6x,3.5,,,2020-02-02
2020-02-10,Parasite,2019,https://boxd.it/YVm5h,5,,,2020-02-09
2020-02-15,Sonic the Hedgehog,2020,https://boxd.it/ZpO13,4,,,2020-02-14
2020-02-17,To All the Boys: P.S. I Still Love You,2020,https://boxd.it/ZE9mT,3,,,2020-02-16
2020-03-06,The Peanut Butter Falcon,2019,https://boxd.it/114p8T,4.5,,,2020-03-04
2020-03-08,Toy Story 4,2019,https://boxd.it/11hy8z,3.5,,,2020-03-08
2020-03-13,Yes Man,2008,https://boxd.it/11C8iP,3,,,2020-03-12
2020-03-15,Vice,2018,https://boxd.it/11NgVR,3.5,,,2020-03-15
2020-03-15,Better Off Dead...,1985,https://boxd.it/11Nxin,3.5,,,2020-03-15
2020-03-29,Django Unchained,2012,https://boxd.it/13iTx1,4.5,,,2020-03-29
2020-04-06,Tiger King,2020,https://boxd.it/14cGzF,4,,,2020-04-03
2020-04-06,I Still Believe,2020,https://boxd.it/14cH4j,4,,,2020-04-05
2020-04-23,The World's End,2013,https://boxd.it/16nMPJ,4,,,2020-04-18
2020-05-04,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/17O6iB,5,,,2020-04-24
2020-05-04,The Lord of the Rings: The Two Towers,2002,https://boxd.it/17O6wt,5,,,2020-04-25
2020-05-04,The Lord of the Rings: The Return of the King,2003,https://boxd.it/17O775,5,,,2020-05-02
2020-05-04,Extraction,2020,https://boxd.it/17OIH5,3.5,,,2020-05-04
2020-05-18,Star Wars,1977,https://boxd.it/19rIPl,5,Yes,,2020-05-04
2020-05-18,The Empire Strikes Back,1980,https://boxd.it/19rIVt,5,Yes,,2020-05-05
2020-05-18,Return of the Jedi,1983,https://boxd.it/19rJ7f,5,Yes,,2020-05-06
2020-05-09,Back to the Future,1985,https://boxd.it/18oPGP,5,,,2020-05-09
2020-05-18,Once Upon a Time... in Hollywood,2019,https://boxd.it/19rJhT,5,Yes,,2020-05-09
2020-05-18,Let It Snow,2019,https://boxd.it/19rIhD,2,,,2020-05-16
2020-05-18,The Gentlemen,2019,https://boxd.it/19rImt,4,Yes,,2020-05-17
2020-06-01,"I Love You, Man",2009,https://boxd.it/1b0EBN,4,Yes,,2020-05-22
2020-06-01,Jojo Rabbit,2019,https://boxd.it/1b0Em9,4,Yes,,2020-05-24
2020-06-01,Inception,2010,https://boxd.it/1b0Ect,5,Yes,,2020-05-30
2020-06-01,Uncut Gems,2019,https://boxd.it/1b0HRJ,5,Yes,,2020-05-30
2020-06-01,No Country for Old Men,2007,https://boxd.it/1b0hx9,4,,,2020-05-31
2020-06-07,The Disaster Artist,2017,https://boxd.it/1bDulj,4.5,,,2020-06-06
2020-06-07,The Wrong Missy,2020,https://boxd.it/1bEacD,2.5,,,2020-06-07
2020-06-14,Lady Bird,2017,https://boxd.it/1cozv3,4,,,2020-06-13
2020-06-21,Killing Gunther,2017,https://boxd.it/1d4FoL,1.5,,,2020-06-20
2020-06-21,Ford v Ferrari,2019,https://boxd.it/1d6t65,5,Yes,,2020-06-20
2020-06-27,Steve Jobs,2015,https://boxd.it/1dI4fH,4.5,,,2020-06-27
2020-07-05,Hamilton,2020,https://boxd.it/1ewvQv,5,,,2020-07-04
2020-07-13,The Wolf of Wall Street,2013,https://boxd.it/1fn2hx,4.5,,,2020-07-05
2020-07-12,Jumanji: Welcome to the Jungle,2017,https://boxd.it/1ff1XB,4,,,2020-07-11
2020-07-12,Palm Springs,2020,https://boxd.it/1fh1tb,4,,,2020-07-12
2020-07-16,How Do You Know,2010,https://boxd.it/1fEMX9,2.5,,,2020-07-15
2020-07-18,The Dark Knight Rises,2012,https://boxd.it/1fTdGx,5,Yes,,2020-07-17
2020-07-18,John Wick,2014,https://boxd.it/1fU24f,4.5,,,2020-07-18
2020-07-19,The Hateful Eight,2015,https://boxd.it/1g1u9h,4.5,,,2020-07-19
2020-07-20,Mission: Impossible – Ghost Protocol,2011,https://boxd.it/1g887H,4,Yes,,2020-07-19
2020-08-02,Juno,2007,https://boxd.it/1hqZhP,5,,,2020-08-02
