Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-29,Movies I HAVE watched with Adeline ,,https://boxd.it/nz5D6,

Position,Name,Year,URL,Description
1,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,
2,About Time,2013,https://boxd.it/43bI,
3,Ghosted,2023,https://boxd.it/wL1e,
4,Top Gun: Maverick,2022,https://boxd.it/cjr4,
5,Ford v Ferrari,2019,https://boxd.it/ce74,
6,About My Father,2023,https://boxd.it/vfcC,
7,Sleepless in Seattle,1993,https://boxd.it/29re,
8,My Big Fat Greek Wedding,2002,https://boxd.it/20k4,
9,See How They Run,2022,https://boxd.it/sNVq,
10,My Big Fat Greek Wedding 2,2016,https://boxd.it/9DE2,
11,What Is a Woman?,2022,https://boxd.it/A8UM,
12,"I Love You, Man",2009,https://boxd.it/1JZu,
13,The Philadelphia Story,1940,https://boxd.it/29a8,
14,Asteroid City,2023,https://boxd.it/s3ds,
15,Forgetting Sarah Marshall,2008,https://boxd.it/1XEq,
16,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,
17,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,
18,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,
19,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
20,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
21,Vengeance,2022,https://boxd.it/pu7U,
22,A Bug's Life,1998,https://boxd.it/1Yyy,
23,The Shawshank Redemption,1994,https://boxd.it/2aHi,
24,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,
25,The Blind Date,2018,https://boxd.it/pTyc,
26,Oppenheimer,2023,https://boxd.it/wUow,
27,Barbie,2023,https://boxd.it/bCLK,
28,Interstellar,2014,https://boxd.it/4VZ8,
29,Skyfall,2012,https://boxd.it/17Fc,
30,No Time to Die,2021,https://boxd.it/cPX2,
31,Manchester by the Sea,2016,https://boxd.it/b2L0,
32,Bohemian Rhapsody,2018,https://boxd.it/f1TK,
33,Grumpy Old Men,1993,https://boxd.it/1TEQ,
34,Grumpier Old Men,1995,https://boxd.it/1LTo,
35,Dune,2021,https://boxd.it/fA7G,
36,My Big Fat Greek Wedding 3,2023,https://boxd.it/BRkQ,
37,Dumb Money,2023,https://boxd.it/tNdU,
38,Taylor Swift: The Eras Tour,2023,https://boxd.it/HTIi,
39,Dirty Dancing,1987,https://boxd.it/2baY,
40,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,
41,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
42,The Holdovers,2023,https://boxd.it/vHza,
43,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,
44,Four Christmases,2008,https://boxd.it/1SjM,
45,Home Alone,1990,https://boxd.it/29Fg,
46,Fred Claus,2007,https://boxd.it/236O,
47,Die Hard,1988,https://boxd.it/2a7u,
48,Wonka,2023,https://boxd.it/tCQm,
49,It's a Wonderful Life,1946,https://boxd.it/28xA,
50,The Family Plan,2023,https://boxd.it/CWsi,
51,Dave Chappelle: The Dreamer,2023,https://boxd.it/K7vm,
52,Pretty Woman,1990,https://boxd.it/2b6M,
53,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
54,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
55,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
56,American Fiction,2023,https://boxd.it/DYHm,
57,La La Land,2016,https://boxd.it/a5fa,
58,Argylle,2024,https://boxd.it/w1kk,
59,Moneyball,2011,https://boxd.it/glS,
60,Dan in Real Life,2007,https://boxd.it/218y,
61,The Boys in the Boat,2023,https://boxd.it/v1OC,
62,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
63,Inglourious Basterds,2009,https://boxd.it/1JzG,
64,Apollo 13,1995,https://boxd.it/2a6G,
65,Dune: Part Two,2024,https://boxd.it/pUfA,
66,Tenet,2020,https://boxd.it/leq4,
67,Gran Turismo,2023,https://boxd.it/B2lS,
68,Inception,2010,https://boxd.it/1skk,
69,Dunkirk,2017,https://boxd.it/d0Y6,
70,Going the Distance,2010,https://boxd.it/16Pq,
71,Blast from the Past,1999,https://boxd.it/1ToS,
72,The Prince of Egypt,1998,https://boxd.it/1XGQ,
73,Captain America: The First Avenger,2011,https://boxd.it/28b0,
74,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
75,The Ministry of Ungentlemanly Warfare,2024,https://boxd.it/u5zu,
76,Draft Day,2014,https://boxd.it/61XO,
77,Captain America: Civil War,2016,https://boxd.it/89Ja,
78,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
79,Challengers,2024,https://boxd.it/zld0,
80,Anyone But You,2023,https://boxd.it/EzA8,
81,The Fall Guy,2024,https://boxd.it/s0Bm,
82,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,
83,Uptown Girls,2003,https://boxd.it/1N64,
84,The Imitation Game,2014,https://boxd.it/6aig,
85,A New Birth of Freedom,,https://boxd.it/oLDm,
