Date,Name,Year,Letterboxd URI,Rating
2019-04-23,Unplanned,2019,https://boxd.it/lacs,4
2019-06-03,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y,3
2019-06-03,The Perfect Date,2019,https://boxd.it/jP9A,2.5
2019-06-18,Pineapple Express,2008,https://boxd.it/1WRS,4
2019-07-03,Spider-Man: Far From Home,2019,https://boxd.it/fegG,5
2019-07-15,Yesterday,2019,https://boxd.it/iF7M,4
2019-07-15,Logan Lucky,2017,https://boxd.it/dZrs,4
2019-07-19,Hot Rod,2007,https://boxd.it/1X9C,4.5
2019-07-24,The Lion King,2019,https://boxd.it/eSjI,4
2019-07-30,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,5
2019-08-11,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2019-08-11,50/50,2011,https://boxd.it/10Tw,3.5
2019-08-12,Rain Man,1988,https://boxd.it/2avw,4.5
2019-10-02,Dave Chappelle: Sticks & Stones,2019,https://boxd.it/n8fy,4
2019-10-02,Ad Astra,2019,https://boxd.it/ePzI,3.5
2019-10-13,What If,2013,https://boxd.it/6ljk,3
2019-11-12,Interstellar,2014,https://boxd.it/4VZ8,5
2019-11-27,Knives Out,2019,https://boxd.it/jWEA,4.5
2019-12-01,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4.5
2019-12-01,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,2.5
2019-12-01,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,5
2019-12-08,Noelle,2019,https://boxd.it/gdzE,3
2019-12-15,A Beautiful Day in the Neighborhood,2019,https://boxd.it/i7vA,5
2019-12-27,It's a Wonderful Life,1946,https://boxd.it/28xA,5
2019-12-27,Star Wars,1977,https://boxd.it/72s,5
2019-12-27,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2019-12-28,Sunshine,2007,https://boxd.it/28Xy,4
2020-01-11,Uncut Gems,2019,https://boxd.it/gXGc,5
2020-01-12,Marriage Story,2019,https://boxd.it/hJAw,4
2020-01-12,1917,2019,https://boxd.it/jj4y,5
2020-01-19,Jojo Rabbit,2019,https://boxd.it/iEBG,4
2020-02-10,Parasite,2019,https://boxd.it/hTha,5
2020-02-15,Sonic the Hedgehog,2020,https://boxd.it/gdK8,4
2020-02-17,To All the Boys: P.S. I Still Love You,2020,https://boxd.it/kJny,3
2020-03-06,The Peanut Butter Falcon,2019,https://boxd.it/gzu2,4.5
2020-03-09,Toy Story 4,2019,https://boxd.it/9ALu,3.5
2020-03-13,Yes Man,2008,https://boxd.it/1WPW,3
2020-03-15,Vice,2018,https://boxd.it/fcFY,3.5
2020-03-15,Better Off Dead...,1985,https://boxd.it/1PFU,3.5
2020-03-29,Django Unchained,2012,https://boxd.it/2cCk,4.5
2020-04-06,Tiger King,2020,https://boxd.it/pzj2,4
2020-04-06,I Still Believe,2020,https://boxd.it/lwEe,4
2020-04-23,The World's End,2013,https://boxd.it/3EiO,4
2020-05-04,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2020-05-04,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,5
2020-05-04,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2020-05-04,Extraction,2020,https://boxd.it/jUjA,3.5
2020-05-09,Back to the Future,1985,https://boxd.it/2b8e,5
2020-05-18,Let It Snow,2019,https://boxd.it/9kKg,2
2020-05-18,The Gentlemen,2019,https://boxd.it/iYBQ,4
2020-05-18,Return of the Jedi,1983,https://boxd.it/27Vm,5
2020-06-01,No Country for Old Men,2007,https://boxd.it/21ew,4
2020-06-01,"I Love You, Man",2009,https://boxd.it/1JZu,4
2020-06-07,The Disaster Artist,2017,https://boxd.it/cTqc,4.5
2020-06-07,The Wrong Missy,2020,https://boxd.it/lqnG,2.5
2020-06-14,Lady Bird,2017,https://boxd.it/dGNE,4
2020-06-21,Killing Gunther,2017,https://boxd.it/exNW,1.5
2020-06-27,Steve Jobs,2015,https://boxd.it/araG,4.5
2020-07-06,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4.5
2020-07-12,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,4
2020-07-12,Palm Springs,2020,https://boxd.it/lCXQ,4
2020-07-18,The Dark Knight Rises,2012,https://boxd.it/H3m,5
2020-07-18,John Wick,2014,https://boxd.it/7dEc,4.5
2020-07-19,The Hateful Eight,2015,https://boxd.it/8gw8,4.5
2020-08-02,Juno,2007,https://boxd.it/210a,5
2020-08-15,Failure to Launch,2006,https://boxd.it/21lW,2.5
2020-09-01,Tenet,2020,https://boxd.it/leq4,5
2020-09-12,The Founder,2016,https://boxd.it/9XwM,4
2020-10-31,Horrible Bosses,2011,https://boxd.it/Ba2,3
2021-01-31,The Little Things,2021,https://boxd.it/mdxU,2.5
2021-02-01,The Firm,1993,https://boxd.it/18JY,4
2021-02-14,Mamma Mia!,2008,https://boxd.it/1Tnq,2.5
2021-02-15,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,3
2021-02-17,The Greatest Showman,2017,https://boxd.it/acjI,3.5
2021-02-18,Doctor Strange,2016,https://boxd.it/8MH8,4
2021-02-19,Eurovision Song Contest: The Story of Fire Saga,2020,https://boxd.it/jkMG,3
2021-02-20,De grote dataroof,2019,https://boxd.it/u37I,4
2021-02-21,Black Panther,2018,https://boxd.it/8MHs,4
2021-02-22,Avengers: Infinity War,2018,https://boxd.it/9vEe,4.5
2021-02-23,The Muppets,2011,https://boxd.it/1zg,3.5
2021-02-23,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,3.5
2021-02-25,Captain Marvel,2019,https://boxd.it/9vSA,3.5
2021-02-26,Avengers: Endgame,2019,https://boxd.it/9vE4,5
2021-03-03,Moulin Rouge!,2001,https://boxd.it/29wI,4
2021-03-03,Shrek the Musical,2013,https://boxd.it/dhSk,3.5
2021-03-08,WandaVision,2021,https://boxd.it/sbGW,4
2021-03-08,The Five-Year Engagement,2012,https://boxd.it/2oZU,3.5
2021-03-09,The Hunchback of Notre Dame,1996,https://boxd.it/1VZQ,3.5
2021-03-15,Forgetting Sarah Marshall,2008,https://boxd.it/1XEq,4.5
2021-03-29,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,4.5
2021-04-07,Saving Private Ryan,1998,https://boxd.it/29ro,5
2021-04-07,Batman Begins,2005,https://boxd.it/2aIg,4
2021-04-08,Justice League: The Flashpoint Paradox,2013,https://boxd.it/5yWW,4
2021-04-11,50 First Dates,2004,https://boxd.it/285c,4
2021-04-11,Accepted,2006,https://boxd.it/1XO6,3
2021-04-13,About Time,2013,https://boxd.it/43bI,5
2021-04-14,Saving Mr. Banks,2013,https://boxd.it/4vIq,4
2021-04-16,Godzilla vs. Kong,2021,https://boxd.it/e0qK,3
2021-04-16,Kong: Skull Island,2017,https://boxd.it/9ewM,3
2021-04-19,Rush,2013,https://boxd.it/3lyS,4
2021-04-21,The Departed,2006,https://boxd.it/28MA,4
2021-04-23,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,3.5
2021-05-02,The Matrix,1999,https://boxd.it/2a1m,4.5
