Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2019-12-15,A Beautiful Day in the Neighborhood,2019,https://boxd.it/TSGJ1,5,,Such a lovely experience,,2019-12-15
2019-12-22,Star Wars: The Rise of Skywalker,2019,https://boxd.it/Uj0bb,4.5,,Great finish to the trilogy and saga as a whole. JJ Abrams really did us all proud once again,,2019-12-20
2020-01-12,1917,2019,https://boxd.it/WpfWh,5,,Arguably 2019/2020's visual masterpiece,,2020-01-12
2020-02-15,Sonic the Hedgehog,2020,https://boxd.it/ZpO13,4,,So incredibly fun,,2020-02-14
2020-05-04,The Lord of the Rings: The Return of the King,2003,https://boxd.it/17O775,5,,Extended Edition is so worth it for this movie. Best movie in what's probably the greatest fantasy trilogy.,,2020-05-02
2020-09-01,Tenet,2020,https://boxd.it/1kAwrt,5,,Review to come after all my boys have seen it,,2020-08-31
2021-06-22,Mud,2012,https://boxd.it/1WxXeR,4,Yes,A work of art about growing up and accepting change in life,,2021-06-21
2021-07-18,Bo Burnham: Inside,2021,https://boxd.it/20eTRD,3,,Artistically well-done and some really fun bits but the whole act of trying to cover his bases of any possible criticism gets old quickly,,2021-07-17
2021-09-05,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/27kewT,4,,You could easily edit any Marvel references out of this movie and it would still be a very solid action & karate movie.,,2021-09-04
2021-09-12,Freaky,2020,https://boxd.it/28kFJf,1.5,,Vince Vaughn has some great moments here but the rest of the movie is just millennial stereotypes and they put no effort in making Kathryn Newton's serial killer persona convincing.,,2021-09-11
2021-09-13,Live and Let Die,1973,https://boxd.it/28ujYH,2,,"A couple really great chase scenes, the best villain so far, and an amazing opening song were almost enough to carry this movie. The rest isn't pretty.",,2021-09-12
2021-10-13,No Time to Die,2021,https://boxd.it/2cGe11,4.5,,"4 stars for the finale, half for Hans Zimmer",,2021-10-12
2021-10-27,The Last Duel,2021,https://boxd.it/2eRFeV,4,,Jodie Comer deserves better,,2021-10-26
