Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-06-21,After Meredith,2019,https://boxd.it/JYZPJ,,,,2019-03-28
2019-04-15,A Clockwork Orange,1971,https://boxd.it/GLx2L,4,,,2019-04-14
2019-04-15,"Good Bye, Lenin!",2003,https://boxd.it/GLQwb,3.5,,,2019-04-14
2019-04-15,Inglourious Basterds,2009,https://boxd.it/GMSlh,5,Yes,,2019-04-14
2019-04-15,Notting Hill,1999,https://boxd.it/GNcfN,4,,,2019-04-14
2019-04-16,Argo,2012,https://boxd.it/GPn83,4.5,Yes,,2019-04-15
2019-04-16,Flight,2012,https://boxd.it/GPEXd,3.5,Yes,,2019-04-15
2019-04-17,Hot Rod,2007,https://boxd.it/GRVsb,4.5,Yes,,2019-04-16
2019-04-20,Star Wars: The Last Jedi,2017,https://boxd.it/H07mP,3,Yes,,2019-04-19
2019-04-20,Steve Jobs,2015,https://boxd.it/H0OpR,5,Yes,,2019-04-19
2019-04-21,Popstar: Never Stop Never Stopping,2016,https://boxd.it/H47NT,4.5,,,2019-04-20
2019-04-22,Nacho Libre,2006,https://boxd.it/H6mr3,4,Yes,,2019-04-21
2019-04-22,The Hitchhiker's Guide to the Galaxy,2005,https://boxd.it/H73sj,4.5,Yes,,2019-04-21
2019-04-26,Avengers: Endgame,2019,https://boxd.it/Hh1k3,4,,,2019-04-24
2019-04-26,John Mulaney: Kid Gorgeous at Radio City,2018,https://boxd.it/Hj939,4,,,2019-04-25
2019-04-27,John Mulaney: New in Town,2012,https://boxd.it/HmrFh,4,,,2019-04-26
2019-04-28,John Mulaney: The Comeback Kid,2015,https://boxd.it/HosWn,4,,,2019-04-27
2019-05-05,Say Anything...,1989,https://boxd.it/HLB3n,3.5,,,2019-05-05
2019-05-07,Freaks and Geeks: The Documentary,2018,https://boxd.it/HRfED,4,,,2019-05-06
2019-05-08,Pineapple Express,2008,https://boxd.it/HTFHx,2.5,Yes,,2019-05-07
2019-05-12,Scott Pilgrim vs. the World,2010,https://boxd.it/I2XdN,4,Yes,,2019-05-09
2019-05-12,District 9,2009,https://boxd.it/I2XhZ,3.5,Yes,,2019-05-10
2019-05-12,Pokémon Detective Pikachu,2019,https://boxd.it/I2Xk5,4,,,2019-05-11
2019-05-12,Ant-Man,2015,https://boxd.it/I4qkF,4.5,Yes,,2019-05-11
2019-05-13,Dan in Real Life,2007,https://boxd.it/I7f7r,3,Yes,,2019-05-12
2019-05-13,The Hateful Eight,2015,https://boxd.it/I7B7N,4,,,2019-05-12
2019-05-14,"Extremely Wicked, Shockingly Evil and Vile",2019,https://boxd.it/I9UIx,3,,,2019-05-13
2019-05-16,Spider-Man: Homecoming,2017,https://boxd.it/IdqQ5,4,Yes,,2019-05-14
2019-05-16,Pokémon Detective Pikachu,2019,https://boxd.it/Iftsf,4,Yes,,2019-05-15
2019-05-16,Interstellar: Nolan's Odyssey,2014,https://boxd.it/IfD0l,,,,2019-05-15
2019-05-18,The Dark Knight,2008,https://boxd.it/IiWf1,5,Yes,,2019-05-16
