Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-02-04,2019,"2019, top 35",https://boxd.it/4JEa8,

Position,Name,Year,URL,Description
1,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
2,Parasite,2019,https://boxd.it/hTha,
3,Ford v Ferrari,2019,https://boxd.it/ce74,
4,Uncut Gems,2019,https://boxd.it/gXGc,
5,Chernobyl,2019,https://boxd.it/mkbG,
6,1917,2019,https://boxd.it/jj4y,
7,Jojo Rabbit,2019,https://boxd.it/iEBG,
8,Doctor Sleep,2019,https://boxd.it/i5vI,
9,The Irishman,2019,https://boxd.it/dYOq,
10,Avengers: Endgame,2019,https://boxd.it/9vE4,
11,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,
12,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,
13,Knives Out,2019,https://boxd.it/jWEA,
14,A Beautiful Day in the Neighborhood,2019,https://boxd.it/i7vA,
15,Yesterday,2019,https://boxd.it/iF7M,
16,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
17,Apollo 11,2019,https://boxd.it/k4r0,
18,Marriage Story,2019,https://boxd.it/hJAw,
19,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,
20,The Lighthouse,2019,https://boxd.it/icFU,
21,Shazam!,2019,https://boxd.it/8WBu,
22,Toy Story 4,2019,https://boxd.it/9ALu,
23,The Lion King,2019,https://boxd.it/eSjI,
24,Joker,2019,https://boxd.it/h4cS,
25,The Lego Movie 2: The Second Part,2019,https://boxd.it/8BAU,
26,Don't F**k with Cats: Hunting an Internet Killer,2019,https://boxd.it/oqjq,
27,Captain Marvel,2019,https://boxd.it/9vSA,
28,Ad Astra,2019,https://boxd.it/ePzI,
29,Zombieland: Double Tap,2019,https://boxd.it/bgb6,
30,Us,2019,https://boxd.it/gnV6,
31,"Extremely Wicked, Shockingly Evil and Vile",2019,https://boxd.it/glCG,
32,Fyre,2019,https://boxd.it/kP0g,
33,Paddleton,2019,https://boxd.it/j4YQ,
34,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019,https://boxd.it/mihs,
35,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,
36,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/dnDA,
37,Always Be My Maybe,2019,https://boxd.it/iB2y,
