Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-01-20,Lapflix 2023 Watchlist,,https://boxd.it/kGNJE,

Position,Name,Year,URL,Description
1,Ex Machina,2015,https://boxd.it/7T2k,
2,Forrest Gump,1994,https://boxd.it/728,
3,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
4,Broker,2022,https://boxd.it/rDUU,
5,Transformers,2007,https://boxd.it/280c,
6,The Fast and the Furious,2001,https://boxd.it/1XMu,
7,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
8,Shaun of the Dead,2004,https://boxd.it/29J8,
9,The Shining,1980,https://boxd.it/29Nu,
10,Perfect Blue,1997,https://boxd.it/1W7A,
