Letterboxd list export v7
Date,Name,Tags,URL,Description
2019-12-31,Lapflix Movie Club,"chalet theatre, lapflix",https://boxd.it/4spMC,

Position,Name,Year,URL,Description
1,2001: A Space Odyssey,1968,https://boxd.it/2bf0,"June 8, 2019"
2,Interstellar,2014,https://boxd.it/4VZ8,"November 27, 2019"
3,Sunshine,2007,https://boxd.it/28Xy,"December 27, 2019"
4,Dunkirk,2017,https://boxd.it/d0Y6,"January 24, 2020"
5,Inglourious Basterds,2009,https://boxd.it/1JzG,"February 21, 2020"
6,Hot Fuzz,2007,https://boxd.it/2416,"(Online) March 20, 2020"
7,Sonic the Hedgehog,2020,https://boxd.it/gdK8,"(Online) April 18, 2020"
8,The Lighthouse,2019,https://boxd.it/icFU,"(Online) April 26, 2020"
9,Star Wars,1977,https://boxd.it/72s,"(Online) May 4, 2020, Theatrical Cut (35mm)<br>"
10,Return of the Jedi,1983,https://boxd.it/27Vm,"(Online) May 6, 2020, Grindhouse 35mm scan"
11,The Gentlemen,2019,https://boxd.it/iYBQ,"<b>(Online) May 17, 2020</b>"
12,Kill Bill: Vol. 1,2003,https://boxd.it/70w,"June 20, 2020"
13,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,"June 20, 2020"
14,The Social Network,2010,https://boxd.it/17ue,"August 7, 2020"
15,The Wolf of Wall Street,2013,https://boxd.it/3C1m,"(Online) August 22, 2020"
16,Tenet,2020,https://boxd.it/leq4,"October 17, 2020"
17,The Little Things,2021,https://boxd.it/mdxU,"January 30, 2021"
18,The Matrix,1999,https://boxd.it/2a1m,"May 1, 2021"
19,No Time to Die,2021,https://boxd.it/cPX2,"October 12, 2021"
20,Blade Runner 2049,2017,https://boxd.it/b8wK,"[Kev’s place] November 6, 2021"
21,The Matrix Resurrections,2021,https://boxd.it/n87k,"[Kev’s place]January 21, 2022"
22,Tropic Thunder,2008,https://boxd.it/20WM,"[Kev’s Place] February 25, 2022"
23,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,"(Online) March 21, 2022"
24,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,"(Online) April 30, 2022"
25,Vertigo,1958,https://boxd.it/2apI,"(Online) May 10, 2022"
26,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,"July 30, 2022"
27,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,"(Online) September 11, 2022"
28,Kick-Ass,2010,https://boxd.it/1zaQ,"(Online) June 28, 2024
"
