Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-04-09,The Tarantino Movies Ranked,,https://boxd.it/5cpS8,

Position,Name,Year,URL,Description
1,Inglourious Basterds,2009,https://boxd.it/1JzG,
2,Kill Bill: The Whole Bloody Affair,2006,https://boxd.it/eCrQ,
3,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
4,Django Unchained,2012,https://boxd.it/2cCk,
5,The Hateful Eight,2015,https://boxd.it/8gw8,
6,Pulp Fiction,1994,https://boxd.it/29Pq,
7,Reservoir Dogs,1992,https://boxd.it/2agc,
8,Jackie Brown,1997,https://boxd.it/2aVO,
9,Death Proof,2007,https://boxd.it/27GG,
