Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2019-05-14,Bumblebee,2018,https://boxd.it/I8sHp,3.5,,"Went into this thinking I'd see the first decent Transformers movie in years, and it delivered. What I didn't expect to see was an almost beat-for-beat remake of the Iron Giant which wasn't a bad thing. Everything from the junk yard to the weaponized robot with amnesia turning on the humans at the end. Worth a watch.",,
2019-05-16,Interstellar: Nolan's Odyssey,2014,https://boxd.it/IfD0l,,,Great behind the scenes of not just Interstellar but Nolan's journey leading up to this movie.,,2019-05-15
2019-05-25,Room 237,2012,https://boxd.it/IE0d1,1.5,,"The documentary begins with people's experiences of seeing Kubrick's films in theaters and how they knew they were designed to make them think. I think they went wrong when they thought those thoughts have to be figured out.

If anything, Room 237 is a good example of taking things too far and that obsessing over a film maker isn't exactly a healthy thing. There are so many assumptions in this and bending one movie to fit the narrators' theories, it's ridiculous.

I've been meaning to watch this for 7 years, and I can't express how let down I am. Skip.",,2019-05-24
2019-06-06,Black Mirror: Striking Vipers,2019,https://boxd.it/JhAIx,,,Oof.,,2019-06-05
2019-06-09,2001: A Space Odyssey,1968,https://boxd.it/JprsL,5,Yes,"I will forever chase the feeling of the experience that the 70mm screening of this movie gave me, but I still cherish being able to see this film in theaters a second time.",,2019-06-08
2019-06-10,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/Ju6dP,4.5,,"""he shot my dog!""
""I get it.""",,2019-06-09
2019-06-12,Won't You Be My Neighbor?,2018,https://boxd.it/JAj31,4.5,,Everyone should see this.,,2019-06-11
2019-06-16,Saving Private Ryan,1998,https://boxd.it/JM9lX,5,Yes,Better with age. I recommend this to anyone who hasnt seen it or has. Go now!,,2019-06-15
2019-06-17,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/JOAW1,0.5,,Real title: How to kill a franchise.,,
2019-06-28,Interstellar,2014,https://boxd.it/KlND3,5,Yes,Get's me every time.,,2019-06-27
2019-07-10,Big Daddy,1999,https://boxd.it/KYijf,4,Yes,"I'll give you crewcut, mister",,2019-07-09
2019-07-12,Yesterday,2019,https://boxd.it/L4E5r,4,,"""I can't apologize enough for that. It was bloody Ed Sheeran!""",,2019-07-11
2019-07-14,Spider-Man: Far From Home,2019,https://boxd.it/L9p9N,4.5,,"Iron Man, but different.",,2019-07-13
2019-07-20,The Lion King,2019,https://boxd.it/LtIWp,4,,<b>Magical. </b>Disney Magic lives on.,,2019-07-19
2019-07-20,"Frankenstein's Monster's Monster, Frankenstein",2019,https://boxd.it/LtKI5,1,,Meh.,,
2019-07-27,Once Upon a Time... in Hollywood,2019,https://boxd.it/LQdzv,5,,Yes. Yes. <b>Yes.</b>,,2019-07-26
