Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-08-01,Official Top 10 Films with the Most Fans,,https://boxd.it/MOL8k,

Position,Name,Year,URL,Description
1,Interstellar,2014,https://boxd.it/4VZ8,
2,La La Land,2016,https://boxd.it/a5fa,
3,Dead Poets Society,1989,https://boxd.it/2aSg,
4,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
5,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
6,Little Women,2019,https://boxd.it/aSVk,
7,Fight Club,1999,https://boxd.it/2a9q,
8,Whiplash,2014,https://boxd.it/7bQA,
9,10 Things I Hate About You,1999,https://boxd.it/23AO,
10,Pride & Prejudice,2005,https://boxd.it/24u8,
