Date,Name,Year,Letterboxd URI
2025-08-01,The Shining,1980,https://boxd.it/29Nu
2025-08-01,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2025-08-01,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2025-08-01,Full Metal Jacket,1987,https://boxd.it/2a1Q
2025-08-01,Jackie Brown,1997,https://boxd.it/2aVO
2025-08-01,Death Proof,2007,https://boxd.it/27GG
2025-08-01,My Best Friend's Birthday,1987,https://boxd.it/1VP2
2025-08-01,Reservoir Dogs,1992,https://boxd.it/2agc
2025-08-01,Kill Bill: Vol. 2,2004,https://boxd.it/2au4
2025-08-01,The Hateful Eight,2015,https://boxd.it/8gw8
2025-08-01,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2025-08-01,Inglourious Basterds,2009,https://boxd.it/1JzG
2025-08-01,Pulp Fiction,1994,https://boxd.it/29Pq
2025-08-01,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u
2025-08-01,The Empire Strikes Back,1980,https://boxd.it/27Vw
2025-08-01,Toy Story,1995,https://boxd.it/29qA
2025-08-01,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2025-08-01,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E
2025-08-01,Star Wars,1977,https://boxd.it/72s
2025-08-01,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US
2025-08-01,Return of the Jedi,1983,https://boxd.it/27Vm
2025-08-01,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc
2025-08-01,Star Wars: The Force Awakens,2015,https://boxd.it/4vru
2025-08-01,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2
2025-08-01,Dune,2021,https://boxd.it/fA7G
2025-08-01,Dune,1984,https://boxd.it/29tY
2025-08-01,Dune: Part Two,2024,https://boxd.it/pUfA
